Date,Price,Open,High,Low,Change %
02-04-2026,7.129,6.961,7.129,6.959,2.43%
01-04-2026,6.96,6.961,6.961,6.96,-0.01%
31-03-2026,6.961,6.961,6.961,6.961,0.00%
30-03-2026,6.961,6.932,7.011,6.932,0.42%
27-03-2026,6.932,6.874,6.962,6.873,0.84%
26-03-2026,6.874,6.874,6.874,6.874,0.00%
25-03-2026,6.874,6.867,6.879,6.854,0.10%
24-03-2026,6.867,6.839,6.872,6.816,0.41%
23-03-2026,6.839,6.737,6.887,6.737,1.51%
20-03-2026,6.737,6.729,6.773,6.728,0.12%
19-03-2026,6.729,6.729,6.729,6.729,0.00%
18-03-2026,6.729,6.717,6.739,6.702,0.18%
17-03-2026,6.717,6.706,6.721,6.706,0.16%
16-03-2026,6.706,6.679,6.719,6.679,0.40%
13-03-2026,6.679,6.668,6.698,6.668,0.15%
12-03-2026,6.669,6.633,6.68,6.633,0.53%
11-03-2026,6.634,6.671,6.693,6.634,-0.55%
10-03-2026,6.671,6.722,6.722,6.665,-0.77%
09-03-2026,6.723,6.688,6.761,6.688,0.52%
06-03-2026,6.688,6.65,6.711,6.644,0.75%
05-03-2026,6.638,6.669,6.674,6.636,-0.46%
04-03-2026,6.669,6.678,6.73,6.669,-0.16%
03-03-2026,6.68,6.678,6.68,6.678,0.00%
02-03-2026,6.68,6.661,6.699,6.661,0.29%
27-02-2026,6.661,6.689,6.712,6.657,-0.43%
26-02-2026,6.69,6.682,6.693,6.672,0.12%
25-02-2026,6.682,6.685,6.693,6.667,-0.04%
24-02-2026,6.685,6.699,6.708,6.665,-0.21%
23-02-2026,6.699,6.725,6.73,6.699,-0.39%
20-02-2026,6.725,6.674,6.735,6.674,0.76%
19-02-2026,6.674,6.674,6.674,6.674,0.00%
18-02-2026,6.674,6.659,6.678,6.659,0.23%
17-02-2026,6.659,6.668,6.676,6.636,-0.13%
16-02-2026,6.668,6.677,6.685,6.663,-0.13%
13-02-2026,6.677,6.685,6.69,6.664,-0.13%
12-02-2026,6.686,6.71,6.735,6.68,-0.36%
11-02-2026,6.71,6.727,6.738,6.709,-0.25%
10-02-2026,6.727,6.761,6.767,6.727,-0.50%
09-02-2026,6.761,6.733,6.765,6.733,0.42%
06-02-2026,6.733,6.651,6.756,6.651,1.23%
05-02-2026,6.651,6.695,6.696,6.638,-0.66%
04-02-2026,6.695,6.721,6.73,6.695,-0.39%
03-02-2026,6.721,6.769,6.769,6.717,-0.71%
02-02-2026,6.769,6.695,6.777,6.695,1.11%
30-01-2026,6.695,6.699,6.714,6.687,-0.06%
29-01-2026,6.699,6.703,6.723,6.695,-0.06%
28-01-2026,6.703,6.719,6.719,6.695,-0.24%
27-01-2026,6.719,6.664,6.719,6.664,0.83%
26-01-2026,6.664,6.664,6.664,6.664,0.00%
23-01-2026,6.664,6.636,6.673,6.636,0.42%
22-01-2026,6.636,6.655,6.655,6.633,-0.29%
21-01-2026,6.655,6.673,6.676,6.655,-0.27%
20-01-2026,6.673,6.684,6.689,6.651,-0.16%
19-01-2026,6.684,6.678,6.694,6.675,0.09%
16-01-2026,6.678,6.647,6.687,6.647,0.47%
15-01-2026,6.647,6.647,6.647,6.647,0.00%
14-01-2026,6.647,6.627,6.652,6.627,0.30%
13-01-2026,6.627,6.605,6.635,6.58,0.33%
12-01-2026,6.605,6.636,6.642,6.594,-0.47%
09-01-2026,6.636,6.63,6.648,6.627,0.09%
08-01-2026,6.63,6.611,6.63,6.611,0.29%
07-01-2026,6.611,6.612,6.635,6.611,-0.02%
06-01-2026,6.612,6.633,6.644,6.612,-0.32%
05-01-2026,6.633,6.609,6.655,6.609,0.36%
02-01-2026,6.609,6.581,6.624,6.578,0.43%
01-01-2026,6.581,6.588,6.617,6.581,-0.11%
31-12-2025,6.588,6.576,6.604,6.569,0.18%
30-12-2025,6.576,6.595,6.602,6.576,-0.29%
29-12-2025,6.595,6.56,6.595,6.56,0.53%
26-12-2025,6.56,6.538,6.574,6.537,0.34%
25-12-2025,6.538,6.538,6.538,6.538,0.00%
24-12-2025,6.538,6.637,6.637,6.532,-1.49%
23-12-2025,6.637,6.669,6.7,6.637,-0.48%
22-12-2025,6.669,6.606,6.673,6.606,0.95%
19-12-2025,6.606,6.57,6.611,6.568,0.55%
18-12-2025,6.57,6.601,6.603,6.57,-0.47%
17-12-2025,6.601,6.573,6.602,6.564,0.43%
16-12-2025,6.573,6.594,6.607,6.573,-0.32%
15-12-2025,6.594,6.597,6.616,6.585,-0.03%
12-12-2025,6.596,6.611,6.611,6.547,-0.23%
11-12-2025,6.611,6.663,6.666,6.607,-0.78%
10-12-2025,6.663,6.619,6.668,6.6,0.68%
09-12-2025,6.618,6.567,6.629,6.56,0.78%
08-12-2025,6.567,6.515,6.577,6.509,1.03%
05-12-2025,6.5,6.53,6.53,6.489,-0.47%
04-12-2025,6.531,6.534,6.558,6.53,0.08%
03-12-2025,6.526,6.513,6.547,6.513,0.35%
02-12-2025,6.503,6.575,6.578,6.503,-1.10%
01-12-2025,6.575,6.547,6.575,6.542,0.72%
28-11-2025,6.528,6.513,6.57,6.5,0.23%
27-11-2025,6.513,6.492,6.518,6.487,0.42%
26-11-2025,6.486,6.496,6.505,6.486,-0.08%
25-11-2025,6.491,6.519,6.525,6.49,-0.52%
24-11-2025,6.525,6.566,6.566,6.519,-0.53%
21-11-2025,6.56,6.536,6.575,6.527,0.37%
20-11-2025,6.536,6.535,6.55,6.535,0.06%
19-11-2025,6.532,6.522,6.537,6.511,0.14%
18-11-2025,6.523,6.542,6.549,6.508,-0.20%
17-11-2025,6.536,6.527,6.549,6.527,0.14%
14-11-2025,6.527,6.513,6.54,6.513,0.25%
13-11-2025,6.511,6.499,6.517,6.49,0.43%
12-11-2025,6.483,6.506,6.506,6.476,-0.25%
11-11-2025,6.499,6.493,6.506,6.481,0.14%
10-11-2025,6.49,6.535,6.535,6.49,-0.48%
07-11-2025,6.521,6.518,6.525,6.508,0.11%
06-11-2025,6.514,6.533,6.533,6.497,-0.29%
05-11-2025,6.533,6.533,6.533,6.533,0.05%
04-11-2025,6.53,6.534,6.534,6.512,0.03%
03-11-2025,6.528,6.527,6.56,6.527,-0.02%
31-10-2025,6.529,6.574,6.6,6.528,-0.67%
30-10-2025,6.573,6.539,6.576,6.539,0.55%
29-10-2025,6.537,6.537,6.555,6.521,0.06%
28-10-2025,6.533,6.548,6.557,6.533,-0.14%
27-10-2025,6.542,6.547,6.549,6.538,0.14%
24-10-2025,6.533,6.539,6.57,6.53,-0.09%
23-10-2025,6.539,6.507,6.54,6.507,0.48%
22-10-2025,6.508,6.507,6.508,6.507,0.02%
21-10-2025,6.507,6.507,6.507,6.507,-0.02%
20-10-2025,6.508,6.51,6.519,6.507,0.03%
17-10-2025,6.506,6.504,6.52,6.477,0.05%
16-10-2025,6.503,6.492,6.505,6.492,0.29%
15-10-2025,6.484,6.504,6.504,6.484,-0.35%
14-10-2025,6.507,6.518,6.527,6.506,-0.17%
13-10-2025,6.518,6.514,6.519,6.512,-0.20%
10-10-2025,6.531,6.523,6.535,6.515,0.15%
09-10-2025,6.521,6.503,6.527,6.503,0.26%
08-10-2025,6.504,6.504,6.507,6.494,-0.09%
07-10-2025,6.51,6.52,6.521,6.506,-0.14%
06-10-2025,6.519,6.512,6.522,6.495,0.08%
03-10-2025,6.514,6.519,6.523,6.505,-0.08%
